<Eugénie-3301>_1,<le père-2169>_2,<monsieur Grandet-943>_3,<Grandet au Tribunal de Première Instance-2317>_4,<Eugénie-1205>_5,<Eugénie et sa mère-1499>_6,<Eugénie-1353>_7,<un homme-191>_8,<l'-2932>_9
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<monsieur Grandet-112>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<leurs-1500>,<Il-1350>,<monsieur Grandet-112>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<madame des Grassins-947>,<un homme-2325>,<un auteur de bonne foi-1214>,<leurs-1500>,<Eugénie-1353>,<un homme-191>,<la fille étonnées-2936>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<un homme-2325>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<le père-2169>,<madame des Grassins-947>,<un homme-2325>,<son-1210>,<Charles-1473>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<des morts-1501>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un astronome-192>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<Eugénie-3301>,<lui-2132>,<le notaire-948>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<le président-949>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Charles-1473>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une dévote-945>,<Charles-2316>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<monsieur Grandet-112>,<Eugénie-2902>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<Charles-2316>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,<la mère-2935>
<Cornoiller-3306>,<le père-2169>,<une petite sotte-946>,<Charles-2316>,<lui-1215>,<des morts-1501>,<Eugénie-1353>,<un homme-191>,<la fille étonnées-2936>
<Cornoiller-3306>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<son-1210>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un astronome-192>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<monsieur Grandet-943>,<un homme-2325>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Cornoiller-3306>,<lui-2132>,<madame des Grassins-947>,<un homme-2325>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<le facteur de poste-3308>,<le père-2169>,<Charles-920>,<un homme-2325>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<le père-2169>,<madame des Grassins-947>,<Charles-2316>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<des morts-1501>,<Il-1350>,<monsieur Grandet-112>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<lui-1215>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<la fille étonnées-2936>
<Eugénie-3301>,<lui-2132>,<le notaire-948>,<Grandet au Tribunal de Première Instance-2317>,<son-1210>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<la mère-2935>
